cliente_id,tipo_cliente,ciudad,grupo,convirtio
C01354,Mayorista,Quito,Control,1
C00611,Minorista,Guayaquil,Tratamiento,0
C01371,Minorista,Guayaquil,Control,0
C00679,Minorista,Quito,Tratamiento,0
C01337,Minorista,Guayaquil,Tratamiento,0
C01340,Minorista,Quito,Control,0
C00030,Minorista,Cuenca,Tratamiento,0
C01122,Minorista,Quito,Tratamiento,0
C01710,Mayorista,Guayaquil,Control,0
C00136,Minorista,Cuenca,Tratamiento,0
C00652,Minorista,Guayaquil,Tratamiento,0
C01650,Minorista,Manta,Tratamiento,0
C00681,Minorista,Quito,Tratamiento,0
C01673,Minorista,Loja,Control,0
C01455,Mayorista,Quito,Control,1
C01494,Minorista,Manta,Tratamiento,0
C01311,Minorista,Manta,Tratamiento,0
C00556,Minorista,Quito,Tratamiento,0
C01596,Mayorista,Cuenca,Control,1
C00383,Mayorista,Guayaquil,Control,1
C00174,Mayorista,Quito,Control,1
C00110,Minorista,Guayaquil,Tratamiento,0
C00571,Minorista,Quito,Tratamiento,0
C00536,Minorista,Loja,Tratamiento,0
C01605,Minorista,Manta,Tratamiento,0
C01028,Minorista,Loja,Tratamiento,0
C00865,Minorista,Quito,Tratamiento,0
C00240,Minorista,Manta,Control,0
C00112,Mayorista,Quito,Tratamiento,1
C01661,Mayorista,Guayaquil,Control,0
C00949,Minorista,Guayaquil,Tratamiento,0
C00590,Minorista,Manta,Tratamiento,0
C00818,Minorista,Loja,Tratamiento,0
C00024,Minorista,Guayaquil,Tratamiento,0
C01568,Mayorista,Loja,Control,1
C01790,Minorista,Quito,Tratamiento,0
C01256,Mayorista,Guayaquil,Control,0
C00519,Minorista,Cuenca,Tratamiento,0
C00430,Minorista,Quito,Tratamiento,0
C00655,Minorista,Quito,Tratamiento,0
C00332,Mayorista,Quito,Control,0
C00189,Minorista,Guayaquil,Tratamiento,0
C01726,Minorista,Cuenca,Tratamiento,0
C00384,Minorista,Guayaquil,Tratamiento,1
C00439,Mayorista,Quito,Control,0
C01776,Mayorista,Loja,Control,0
C00591,Minorista,Guayaquil,Control,0
C00211,Minorista,Manta,Tratamiento,0
C00221,Mayorista,Guayaquil,Tratamiento,1
C00204,Minorista,Manta,Tratamiento,0
C00440,Minorista,Loja,Tratamiento,1
C01620,Minorista,Quito,Tratamiento,0
C01518,Mayorista,Quito,Control,0
C01742,Minorista,Loja,Tratamiento,0
C00583,Minorista,Guayaquil,Tratamiento,0
C01734,Minorista,Loja,Control,0
C00484,Minorista,Quito,Tratamiento,0
C01250,Mayorista,Quito,Control,0
C00783,Minorista,Quito,Tratamiento,0
C00482,Minorista,Quito,Control,0
C00515,Mayorista,Cuenca,Control,0
C00950,Minorista,Quito,Control,1
C00969,Mayorista,Cuenca,Control,1
C00612,Mayorista,Cuenca,Control,1
C00803,Minorista,Cuenca,Tratamiento,0
C00528,Minorista,Quito,Tratamiento,0
C00768,Minorista,Quito,Tratamiento,0
C00599,Minorista,Quito,Control,0
C00116,Mayorista,Guayaquil,Control,1
C00507,Minorista,Guayaquil,Tratamiento,1
C00545,Minorista,Manta,Tratamiento,1
C00351,Minorista,Guayaquil,Control,0
C01388,Minorista,Guayaquil,Tratamiento,0
C01718,Mayorista,Cuenca,Tratamiento,1
C01752,Mayorista,Cuenca,Control,0
C01051,Minorista,Guayaquil,Tratamiento,0
C01202,Minorista,Guayaquil,Tratamiento,1
C00276,Minorista,Quito,Tratamiento,1
C00345,Minorista,Cuenca,Control,0
C01777,Minorista,Guayaquil,Control,0
C01217,Minorista,Quito,Control,0
C00711,Minorista,Quito,Tratamiento,1
C00343,Minorista,Manta,Tratamiento,0
C01197,Mayorista,Guayaquil,Tratamiento,0
C00483,Minorista,Guayaquil,Tratamiento,0
C00887,Minorista,Manta,Tratamiento,0
C00333,Minorista,Manta,Control,0
C01166,Minorista,Quito,Tratamiento,0
C00125,Minorista,Guayaquil,Tratamiento,0
C00544,Mayorista,Loja,Tratamiento,0
C01125,Mayorista,Manta,Tratamiento,0
C00050,Minorista,Loja,Tratamiento,0
C01212,Minorista,Cuenca,Tratamiento,0
C00427,Minorista,Quito,Tratamiento,0
C00701,Minorista,Quito,Control,0
C01161,Minorista,Quito,Tratamiento,0
C01778,Minorista,Guayaquil,Tratamiento,0
C00893,Minorista,Quito,Control,0
C01165,Minorista,Quito,Control,0
C01512,Minorista,Manta,Tratamiento,0
C01788,Mayorista,Manta,Tratamiento,1
C01209,Minorista,Quito,Tratamiento,1
C01766,Minorista,Guayaquil,Tratamiento,0
C00234,Minorista,Manta,Tratamiento,0
C00079,Minorista,Quito,Tratamiento,0
C00882,Mayorista,Guayaquil,Control,0
C00615,Minorista,Quito,Tratamiento,0
C00415,Minorista,Manta,Tratamiento,0
C00074,Minorista,Quito,Tratamiento,0
C00621,Mayorista,Cuenca,Control,0
C00070,Minorista,Quito,Tratamiento,0
C01608,Minorista,Cuenca,Control,0
C01319,Minorista,Quito,Control,0
C00786,Minorista,Loja,Tratamiento,0
C00778,Minorista,Quito,Control,0
C01755,Minorista,Guayaquil,Tratamiento,0
C00451,Minorista,Quito,Control,0
C00846,Minorista,Guayaquil,Control,0
C00845,Minorista,Quito,Control,0
C00868,Mayorista,Loja,Control,1
C00850,Minorista,Loja,Tratamiento,0
C01263,Minorista,Quito,Control,0
C00077,Minorista,Quito,Tratamiento,0
C01506,Mayorista,Loja,Control,0
C00938,Mayorista,Cuenca,Control,1
C01522,Minorista,Guayaquil,Tratamiento,0
C01287,Mayorista,Manta,Control,0
C00781,Minorista,Cuenca,Tratamiento,0
C01363,Minorista,Quito,Tratamiento,0
C01327,Minorista,Loja,Tratamiento,1
C00702,Minorista,Cuenca,Control,0
C01240,Minorista,Quito,Tratamiento,0
C00706,Minorista,Quito,Control,0
C01321,Minorista,Quito,Tratamiento,0
C00031,Minorista,Cuenca,Tratamiento,0
C01320,Minorista,Loja,Tratamiento,0
C01465,Minorista,Guayaquil,Tratamiento,0
C01636,Minorista,Cuenca,Tratamiento,0
C00368,Mayorista,Quito,Control,1
C00409,Minorista,Guayaquil,Control,0
C01030,Minorista,Quito,Tratamiento,0
C01396,Minorista,Guayaquil,Tratamiento,0
C01413,Minorista,Cuenca,Control,0
C00100,Minorista,Quito,Tratamiento,0
C01145,Minorista,Guayaquil,Tratamiento,0
C01109,Minorista,Quito,Tratamiento,0
C01638,Minorista,Guayaquil,Control,0
C01090,Minorista,Guayaquil,Tratamiento,1
C00856,Minorista,Quito,Control,0
C00788,Minorista,Cuenca,Tratamiento,0
C00169,Minorista,Cuenca,Tratamiento,0
C00943,Minorista,Guayaquil,Tratamiento,0
C00213,Minorista,Guayaquil,Control,1
C01545,Minorista,Manta,Tratamiento,0
C01044,Minorista,Loja,Tratamiento,1
C01728,Minorista,Manta,Tratamiento,0
C00481,Minorista,Quito,Tratamiento,0
C01594,Minorista,Cuenca,Tratamiento,0
C01441,Mayorista,Guayaquil,Tratamiento,0
C01747,Minorista,Quito,Control,0
C00033,Mayorista,Guayaquil,Tratamiento,0
C00918,Minorista,Guayaquil,Tratamiento,0
C01164,Mayorista,Quito,Control,0
C00421,Minorista,Manta,Tratamiento,0
C01443,Minorista,Quito,Control,0
C01188,Mayorista,Quito,Control,0
C01305,Minorista,Manta,Tratamiento,0
C00904,Mayorista,Guayaquil,Control,1
C00186,Minorista,Quito,Tratamiento,0
C00963,Minorista,Quito,Tratamiento,1
C01541,Mayorista,Quito,Control,0
C00271,Minorista,Cuenca,Tratamiento,0
C00045,Minorista,Loja,Control,0
C00372,Minorista,Cuenca,Tratamiento,0
C00584,Minorista,Quito,Tratamiento,0
C00942,Mayorista,Cuenca,Control,0
C00819,Minorista,Cuenca,Tratamiento,0
C00197,Minorista,Quito,Tratamiento,0
C00899,Minorista,Loja,Control,0
C01008,Mayorista,Guayaquil,Control,0
C00238,Minorista,Manta,Control,0
C00060,Minorista,Quito,Control,0
C01227,Minorista,Quito,Tratamiento,0
C00399,Minorista,Guayaquil,Tratamiento,0
C00989,Minorista,Quito,Control,0
C01470,Minorista,Loja,Control,0
C00366,Minorista,Cuenca,Tratamiento,0
C01561,Minorista,Cuenca,Tratamiento,0
C00308,Minorista,Quito,Tratamiento,0
C01453,Minorista,Guayaquil,Tratamiento,0
C01273,Minorista,Quito,Tratamiento,0
C00124,Minorista,Cuenca,Control,0
C00772,Minorista,Quito,Tratamiento,0
C00255,Minorista,Loja,Tratamiento,0
C00306,Minorista,Guayaquil,Control,1
C01023,Minorista,Quito,Tratamiento,0
C00683,Mayorista,Guayaquil,Tratamiento,0
C01117,Minorista,Cuenca,Control,0
C01552,Minorista,Quito,Control,0
C01637,Minorista,Guayaquil,Control,0
C01369,Mayorista,Quito,Control,1
C01475,Minorista,Guayaquil,Tratamiento,0
C01180,Minorista,Quito,Tratamiento,0
C01780,Minorista,Loja,Tratamiento,0
C00298,Minorista,Quito,Tratamiento,0
C01014,Minorista,Quito,Tratamiento,0
C00367,Minorista,Quito,Tratamiento,0
C01437,Mayorista,Cuenca,Control,0
C01548,Minorista,Loja,Tratamiento,0
C01760,Minorista,Quito,Tratamiento,0
C00352,Minorista,Cuenca,Tratamiento,0
C00068,Mayorista,Quito,Control,1
C01081,Minorista,Guayaquil,Tratamiento,0
C01612,Minorista,Loja,Tratamiento,0
C00746,Mayorista,Guayaquil,Tratamiento,1
C01269,Minorista,Quito,Control,0
C01736,Minorista,Guayaquil,Control,0
C00395,Minorista,Quito,Control,0
C00734,Mayorista,Quito,Control,0
C00814,Minorista,Guayaquil,Control,0
C01351,Minorista,Guayaquil,Tratamiento,0
C00304,Minorista,Guayaquil,Control,0
C00594,Minorista,Quito,Tratamiento,0
C01380,Minorista,Guayaquil,Tratamiento,0
C01425,Mayorista,Quito,Tratamiento,1
C01498,Minorista,Guayaquil,Tratamiento,0
C00317,Minorista,Quito,Tratamiento,0
C01532,Minorista,Loja,Tratamiento,0
C00755,Minorista,Cuenca,Tratamiento,0
C00644,Minorista,Quito,Control,0
C00535,Minorista,Guayaquil,Control,0
C00756,Minorista,Guayaquil,Control,0
C00262,Minorista,Guayaquil,Control,0
C01085,Minorista,Cuenca,Tratamiento,0
C00241,Minorista,Guayaquil,Tratamiento,1
C00671,Minorista,Loja,Tratamiento,1
C00299,Minorista,Loja,Tratamiento,0
C01111,Minorista,Cuenca,Tratamiento,1
C00967,Minorista,Quito,Control,0
C00847,Minorista,Cuenca,Control,0
C00433,Mayorista,Manta,Control,0
C00072,Mayorista,Cuenca,Control,1
C00382,Minorista,Quito,Tratamiento,1
C00260,Minorista,Loja,Tratamiento,0
C00052,Minorista,Cuenca,Tratamiento,1
C00375,Mayorista,Quito,Control,0
C00340,Minorista,Quito,Control,0
C00533,Mayorista,Quito,Control,1
C01222,Minorista,Quito,Tratamiento,1
C01315,Mayorista,Quito,Control,0
C01064,Minorista,Quito,Tratamiento,0
C01738,Minorista,Cuenca,Tratamiento,1
C01743,Minorista,Guayaquil,Tratamiento,0
C01056,Mayorista,Manta,Control,0
C01231,Minorista,Quito,Control,1
C00939,Minorista,Quito,Tratamiento,0
C01492,Minorista,Loja,Tratamiento,0
C00426,Minorista,Quito,Tratamiento,0
C00463,Minorista,Guayaquil,Tratamiento,0
C00495,Minorista,Guayaquil,Tratamiento,0
C00844,Minorista,Quito,Tratamiento,0
C01540,Minorista,Quito,Control,0
C00527,Minorista,Loja,Tratamiento,0
C00142,Minorista,Guayaquil,Tratamiento,0
C01477,Minorista,Manta,Tratamiento,0
C00618,Minorista,Quito,Control,0
C01682,Mayorista,Quito,Control,0
C00858,Minorista,Guayaquil,Tratamiento,1
C00434,Minorista,Manta,Tratamiento,0
C00999,Minorista,Cuenca,Control,0
C00272,Minorista,Guayaquil,Control,0
C00185,Minorista,Quito,Tratamiento,0
C00773,Minorista,Guayaquil,Tratamiento,0
C00245,Minorista,Quito,Control,0
C01464,Minorista,Quito,Tratamiento,0
C01069,Minorista,Quito,Control,0
C01461,Minorista,Cuenca,Tratamiento,0
C01400,Minorista,Loja,Tratamiento,0
C01488,Minorista,Quito,Tratamiento,0
C01482,Minorista,Guayaquil,Control,0
C00908,Mayorista,Loja,Control,0
C00603,Minorista,Guayaquil,Tratamiento,0
C01767,Minorista,Cuenca,Tratamiento,0
C01309,Minorista,Quito,Tratamiento,0
C00251,Minorista,Cuenca,Control,0
C00498,Minorista,Manta,Tratamiento,0
C01178,Minorista,Guayaquil,Control,0
C01291,Minorista,Manta,Control,0
C01377,Minorista,Quito,Tratamiento,0
C00355,Minorista,Quito,Tratamiento,0
C01054,Mayorista,Quito,Control,0
C00619,Minorista,Guayaquil,Control,0
C00629,Mayorista,Quito,Control,0
C01027,Minorista,Loja,Tratamiento,0
C01304,Minorista,Loja,Tratamiento,0
C00416,Minorista,Loja,Tratamiento,0
C00998,Minorista,Loja,Tratamiento,0
C00171,Minorista,Quito,Control,0
C01567,Minorista,Quito,Tratamiento,0
C00414,Mayorista,Cuenca,Control,0
C01422,Minorista,Quito,Tratamiento,0
C00301,Minorista,Loja,Tratamiento,0
C01782,Minorista,Guayaquil,Tratamiento,0
C00412,Minorista,Quito,Tratamiento,0
C00766,Mayorista,Manta,Control,1
C01466,Minorista,Quito,Control,0
C01735,Minorista,Guayaquil,Tratamiento,1
C01270,Minorista,Guayaquil,Control,0
C01275,Mayorista,Quito,Control,0
C00833,Minorista,Guayaquil,Tratamiento,1
C00837,Minorista,Guayaquil,Tratamiento,0
C01104,Mayorista,Guayaquil,Control,1
C00860,Minorista,Cuenca,Tratamiento,0
C00568,Minorista,Manta,Tratamiento,0
C00176,Minorista,Quito,Tratamiento,1
C01462,Minorista,Quito,Tratamiento,0
C00678,Minorista,Manta,Tratamiento,0
C01395,Minorista,Quito,Tratamiento,0
C00335,Minorista,Quito,Tratamiento,0
C00760,Minorista,Guayaquil,Tratamiento,0
C00638,Mayorista,Quito,Control,1
C00894,Minorista,Loja,Tratamiento,0
C01206,Mayorista,Guayaquil,Tratamiento,1
C00199,Minorista,Guayaquil,Tratamiento,1
C00016,Mayorista,Quito,Control,1
C00266,Minorista,Guayaquil,Tratamiento,0
C00558,Minorista,Guayaquil,Tratamiento,0
C01034,Mayorista,Cuenca,Control,1
C00817,Mayorista,Guayaquil,Tratamiento,1
C01508,Minorista,Manta,Tratamiento,0
C00742,Minorista,Manta,Tratamiento,0
C01393,Minorista,Guayaquil,Tratamiento,0
C00479,Minorista,Cuenca,Tratamiento,0
C01006,Minorista,Quito,Tratamiento,1
C00417,Minorista,Guayaquil,Tratamiento,0
C00200,Minorista,Quito,Tratamiento,0
C00728,Minorista,Quito,Control,0
C00994,Minorista,Quito,Tratamiento,0
C01723,Minorista,Quito,Tratamiento,0
C01152,Minorista,Quito,Control,0
C01493,Mayorista,Manta,Control,0
C01450,Minorista,Cuenca,Control,1
C01173,Minorista,Loja,Tratamiento,0
C01118,Minorista,Quito,Control,0
C01569,Mayorista,Guayaquil,Control,0
C00600,Minorista,Guayaquil,Tratamiento,0
C01386,Minorista,Quito,Tratamiento,0
C00931,Minorista,Manta,Control,0
C00311,Minorista,Quito,Control,0
C00057,Minorista,Guayaquil,Tratamiento,0
C00549,Mayorista,Quito,Control,0
C00423,Mayorista,Quito,Tratamiento,1
C00597,Minorista,Guayaquil,Tratamiento,0
C00044,Minorista,Quito,Tratamiento,0
C00101,Minorista,Quito,Tratamiento,0
C00275,Minorista,Quito,Tratamiento,0
C01259,Minorista,Guayaquil,Tratamiento,0
C00354,Minorista,Manta,Tratamiento,0
C00102,Mayorista,Cuenca,Control,1
C00975,Minorista,Guayaquil,Tratamiento,0
C00108,Minorista,Quito,Control,0
C01731,Minorista,Guayaquil,Control,0
C01781,Minorista,Quito,Tratamiento,0
C00839,Minorista,Quito,Tratamiento,0
C01245,Mayorista,Guayaquil,Tratamiento,1
C00694,Minorista,Quito,Tratamiento,0
C00586,Minorista,Loja,Tratamiento,0
C01629,Minorista,Cuenca,Tratamiento,0
C00979,Minorista,Loja,Tratamiento,0
C01170,Minorista,Cuenca,Tratamiento,1
C00129,Minorista,Cuenca,Tratamiento,1
C01271,Minorista,Guayaquil,Tratamiento,0
C00454,Minorista,Loja,Tratamiento,1
C00428,Minorista,Quito,Tratamiento,0
C01684,Minorista,Guayaquil,Tratamiento,0
C01059,Minorista,Quito,Tratamiento,0
C00866,Mayorista,Quito,Control,0
C01387,Minorista,Guayaquil,Control,0
C00941,Minorista,Quito,Tratamiento,0
C01232,Minorista,Cuenca,Control,0
C01121,Minorista,Guayaquil,Control,0
C00610,Minorista,Cuenca,Tratamiento,0
C01404,Minorista,Quito,Control,0
C01382,Mayorista,Cuenca,Control,0
C01058,Minorista,Guayaquil,Tratamiento,0
C00708,Minorista,Quito,Tratamiento,0
C00917,Minorista,Quito,Tratamiento,0
C00995,Minorista,Manta,Tratamiento,0
C00406,Minorista,Cuenca,Tratamiento,0
C01392,Minorista,Guayaquil,Control,0
C01491,Mayorista,Manta,Control,0
C01795,Minorista,Guayaquil,Tratamiento,0
C00576,Minorista,Quito,Tratamiento,1
C00480,Minorista,Cuenca,Tratamiento,0
C00465,Mayorista,Quito,Control,0
C00227,Minorista,Quito,Tratamiento,0
C00232,Minorista,Quito,Tratamiento,0
C00744,Minorista,Guayaquil,Tratamiento,1
C01572,Minorista,Guayaquil,Tratamiento,0
C00585,Mayorista,Guayaquil,Control,0
C00164,Mayorista,Cuenca,Control,0
C00680,Minorista,Quito,Tratamiento,0
C00800,Minorista,Guayaquil,Tratamiento,0
C00267,Mayorista,Guayaquil,Control,1
C00149,Mayorista,Manta,Control,0
C01378,Minorista,Cuenca,Tratamiento,0
C00985,Minorista,Guayaquil,Tratamiento,0
C00589,Minorista,Guayaquil,Control,1
C01582,Minorista,Quito,Tratamiento,0
C01419,Minorista,Guayaquil,Tratamiento,0
C00307,Minorista,Cuenca,Tratamiento,1
C00193,Minorista,Manta,Control,0
C00953,Minorista,Quito,Tratamiento,0
C00310,Minorista,Manta,Tratamiento,0
C01799,Minorista,Quito,Tratamiento,0
C00064,Mayorista,Manta,Control,0
C01649,Mayorista,Cuenca,Control,1
C01791,Minorista,Quito,Tratamiento,0
C01365,Minorista,Guayaquil,Tratamiento,1
C00487,Minorista,Cuenca,Tratamiento,0
C00753,Minorista,Guayaquil,Tratamiento,0
C01019,Minorista,Cuenca,Control,0
C01138,Minorista,Quito,Tratamiento,0
C01344,Minorista,Loja,Tratamiento,0
C01211,Minorista,Quito,Tratamiento,0
C01517,Mayorista,Manta,Control,0
C01313,Mayorista,Guayaquil,Control,0
C01053,Minorista,Cuenca,Tratamiento,0
C01588,Minorista,Cuenca,Tratamiento,0
C00809,Minorista,Manta,Tratamiento,0
C00219,Minorista,Guayaquil,Control,0
C01658,Minorista,Cuenca,Tratamiento,0
C00287,Minorista,Quito,Tratamiento,0
C01362,Mayorista,Guayaquil,Control,1
C01447,Minorista,Cuenca,Control,0
C01289,Minorista,Quito,Tratamiento,0
C01537,Minorista,Quito,Tratamiento,0
C00362,Minorista,Quito,Tratamiento,0
C01336,Minorista,Guayaquil,Control,0
C00577,Minorista,Quito,Control,0
C01314,Minorista,Guayaquil,Tratamiento,0
C01186,Mayorista,Guayaquil,Control,0
C00486,Minorista,Guayaquil,Tratamiento,0
C01478,Minorista,Cuenca,Tratamiento,1
C00553,Minorista,Manta,Tratamiento,1
C01433,Minorista,Quito,Control,0
C00875,Mayorista,Guayaquil,Tratamiento,1
C00905,Minorista,Cuenca,Tratamiento,1
C01114,Mayorista,Guayaquil,Control,0
C00842,Minorista,Guayaquil,Tratamiento,0
C01640,Minorista,Quito,Control,0
C01290,Mayorista,Cuenca,Control,0
C00888,Minorista,Quito,Tratamiento,0
C00880,Minorista,Loja,Tratamiento,0
C01727,Mayorista,Quito,Tratamiento,0
C00901,Minorista,Quito,Control,0
C00293,Mayorista,Cuenca,Control,0
C00632,Minorista,Cuenca,Tratamiento,0
C01129,Minorista,Guayaquil,Tratamiento,0
C01432,Minorista,Quito,Tratamiento,0
C01132,Minorista,Cuenca,Tratamiento,0
C01279,Minorista,Guayaquil,Tratamiento,0
C01086,Minorista,Quito,Tratamiento,0
C00494,Mayorista,Guayaquil,Tratamiento,0
C01189,Mayorista,Quito,Control,1
C00278,Mayorista,Cuenca,Control,0
C01662,Minorista,Guayaquil,Tratamiento,0
C00359,Minorista,Cuenca,Control,0
C00987,Minorista,Loja,Control,0
C00237,Minorista,Guayaquil,Control,0
C01681,Minorista,Quito,Tratamiento,0
C00209,Minorista,Manta,Tratamiento,0
C01281,Minorista,Quito,Tratamiento,0
C01406,Minorista,Guayaquil,Tratamiento,0
C00059,Mayorista,Quito,Control,0
C01430,Minorista,Quito,Tratamiento,0
C01423,Minorista,Cuenca,Tratamiento,0
C00364,Minorista,Quito,Control,0
C00907,Mayorista,Quito,Control,0
C00723,Minorista,Loja,Control,0
C01010,Mayorista,Quito,Control,0
C01633,Minorista,Manta,Control,0
C01102,Minorista,Quito,Tratamiento,0
C00693,Mayorista,Manta,Control,1
C00906,Minorista,Cuenca,Tratamiento,0
C01570,Mayorista,Quito,Tratamiento,0
C00119,Mayorista,Quito,Control,0
C01796,Minorista,Guayaquil,Tratamiento,0
C00630,Minorista,Guayaquil,Tratamiento,0
C00523,Mayorista,Guayaquil,Control,0
C00514,Minorista,Guayaquil,Tratamiento,0
C00082,Minorista,Quito,Tratamiento,0
C00705,Mayorista,Guayaquil,Control,1
C00381,Minorista,Loja,Tratamiento,0
C01525,Minorista,Cuenca,Tratamiento,0
C00085,Mayorista,Guayaquil,Control,0
C01515,Mayorista,Quito,Control,0
C01666,Minorista,Manta,Control,1
C00915,Minorista,Guayaquil,Tratamiento,0
C00614,Minorista,Quito,Tratamiento,0
C00983,Minorista,Guayaquil,Tratamiento,1
C00757,Mayorista,Guayaquil,Control,0
C00721,Minorista,Quito,Tratamiento,0
C00452,Minorista,Quito,Control,0
C00491,Minorista,Guayaquil,Control,0
C01779,Minorista,Manta,Control,0
C00288,Minorista,Quito,Tratamiento,0
C01158,Minorista,Quito,Control,0
C01786,Minorista,Loja,Control,0
C01230,Minorista,Guayaquil,Tratamiento,0
C01084,Minorista,Guayaquil,Control,0
C01499,Minorista,Loja,Tratamiento,0
C01334,Minorista,Cuenca,Tratamiento,0
C01000,Minorista,Cuenca,Tratamiento,0
C01201,Minorista,Quito,Tratamiento,0
C01490,Minorista,Cuenca,Tratamiento,0
C00328,Mayorista,Quito,Control,1
C01310,Minorista,Guayaquil,Tratamiento,0
C01113,Minorista,Cuenca,Tratamiento,0
C00937,Mayorista,Guayaquil,Tratamiento,1
C01408,Minorista,Guayaquil,Control,0
C00758,Minorista,Quito,Tratamiento,0
C00178,Minorista,Loja,Tratamiento,1
C00608,Mayorista,Manta,Control,0
C00775,Minorista,Cuenca,Tratamiento,0
C00087,Minorista,Loja,Tratamiento,0
C01266,Minorista,Quito,Tratamiento,0
C01758,Minorista,Quito,Tratamiento,0
C00458,Minorista,Quito,Control,0
C00055,Minorista,Guayaquil,Tratamiento,0
C01353,Minorista,Loja,Tratamiento,0
C00222,Minorista,Quito,Tratamiento,0
C00114,Mayorista,Cuenca,Tratamiento,1
C01654,Mayorista,Quito,Control,0
C01112,Mayorista,Quito,Control,1
C00820,Mayorista,Guayaquil,Control,1
C00175,Minorista,Manta,Control,0
C01646,Minorista,Cuenca,Control,0
C01405,Minorista,Manta,Tratamiento,0
C00019,Minorista,Cuenca,Tratamiento,0
C00424,Mayorista,Quito,Control,0
C01207,Mayorista,Quito,Control,0
C00286,Minorista,Quito,Tratamiento,0
C01429,Minorista,Quito,Control,1
C00429,Minorista,Quito,Tratamiento,0
C01361,Mayorista,Guayaquil,Control,0
C01246,Minorista,Guayaquil,Tratamiento,0
C00032,Minorista,Guayaquil,Tratamiento,1
C01011,Minorista,Manta,Tratamiento,0
C01775,Mayorista,Loja,Control,0
C00215,Minorista,Quito,Tratamiento,0
C00670,Minorista,Quito,Control,0
C00327,Minorista,Manta,Tratamiento,0
C00561,Minorista,Guayaquil,Tratamiento,0
C01050,Minorista,Guayaquil,Control,0
C01236,Minorista,Quito,Tratamiento,1
C01352,Minorista,Loja,Tratamiento,1
C00342,Minorista,Quito,Tratamiento,0
C00148,Minorista,Loja,Tratamiento,0
C00361,Minorista,Guayaquil,Tratamiento,0
C00084,Minorista,Quito,Tratamiento,1
C00049,Minorista,Quito,Tratamiento,0
C00469,Mayorista,Quito,Control,1
C00156,Minorista,Quito,Tratamiento,1
C01676,Mayorista,Quito,Control,0
C01317,Minorista,Quito,Tratamiento,1
C01092,Minorista,Quito,Tratamiento,1
C01471,Minorista,Guayaquil,Tratamiento,0
C00501,Minorista,Quito,Control,0
C00180,Minorista,Quito,Tratamiento,0
C01481,Minorista,Quito,Tratamiento,0
C01600,Minorista,Guayaquil,Tratamiento,0
C00808,Mayorista,Cuenca,Control,0
C00529,Minorista,Cuenca,Tratamiento,0
C00347,Mayorista,Manta,Control,0
C01248,Minorista,Loja,Tratamiento,0
C01761,Minorista,Guayaquil,Tratamiento,0
C01282,Minorista,Quito,Control,0
C00922,Minorista,Cuenca,Tratamiento,0
C01384,Mayorista,Loja,Control,0
C00602,Minorista,Cuenca,Tratamiento,0
C00890,Minorista,Guayaquil,Tratamiento,0
C00244,Minorista,Cuenca,Tratamiento,1
C00737,Mayorista,Cuenca,Control,1
C01329,Minorista,Cuenca,Tratamiento,0
C00313,Minorista,Guayaquil,Control,0
