cliente_id,razon_social,ciudad,tipo_cliente,fecha_alta,canal_captacion
C00049,Cliente 00049,Quito,Minorista,2022-05-05,Visita comercial
C00050,Cliente 00050,Loja,Minorista,2024-11-09,Referido
C00051,Cliente 00051,Guayaquil,Minorista,2025-09-24,Punto de venta
C00052,Cliente 00052,Cuenca,Minorista,2025-11-18,Visita comercial
C00053,Cliente 00053,Quito,Minorista,2024-01-25,Referido
C00054,Cliente 00054,Guayaquil,Minorista,2024-11-02,Visita comercial
C00055,Cliente 00055,Guayaquil,Minorista,2025-06-05,Visita comercial
C00056,Cliente 00056,Loja,Minorista,2025-04-08,Redes sociales
C00057,Cliente 00057,Guayaquil,Minorista,2025-06-20,Visita comercial
C00058,Cliente 00058,Guayaquil,Mayorista,2025-03-07,Referido
C00059,Cliente 00059,Quito,Mayorista,2023-03-17,Punto de venta
C00060,Cliente 00060,Quito,Minorista,2024-09-25,Punto de venta
C00061,Cliente 00061,Guayaquil,Mayorista,2023-05-02,Visita comercial
C00062,Cliente 00062,Guayaquil,Minorista,2025-01-17,Referido
C00063,Cliente 00063,Quito,Mayorista,2025-01-31,Redes sociales
C00064,Cliente 00064,Manta,Mayorista,2025-08-18,Punto de venta
C00065,Cliente 00065,Manta,Minorista,2024-02-11,Punto de venta
C00066,Cliente 00066,Quito,Minorista,2023-08-14,Visita comercial
C00067,Cliente 00067,Guayaquil,Mayorista,2022-04-05,Visita comercial
C00068,Cliente 00068,Quito,Mayorista,2024-05-01,Referido
C00069,Cliente 00069,Cuenca,Mayorista,2024-01-07,Punto de venta
C00070,Cliente 00070,Quito,Minorista,2023-10-16,Punto de venta
C00071,Cliente 00071,Cuenca,Minorista,2024-07-01,Visita comercial
C00072,Cliente 00072,Cuenca,Mayorista,2025-04-06,Redes sociales
C00073,Cliente 00073,Cuenca,Minorista,2022-03-09,Visita comercial
C00074,Cliente 00074,Quito,Minorista,2023-06-05,Punto de venta
C00075,Cliente 00075,Manta,Minorista,2024-09-12,Punto de venta
C00076,Cliente 00076,Quito,Minorista,2025-02-15,Referido
C00077,Cliente 00077,Quito,Minorista,2024-12-11,Visita comercial
C00078,Cliente 00078,Guayaquil,Minorista,2025-01-13,Redes sociales
C00079,Cliente 00079,Quito,Minorista,2025-04-13,Referido
C00080,Cliente 00080,Manta,Minorista,2025-10-01,Punto de venta
C00081,Cliente 00081,Manta,Mayorista,2024-03-13,Referido
C00082,Cliente 00082,Quito,Minorista,2022-08-17,Punto de venta
C00083,Cliente 00083,Loja,Minorista,2024-01-02,Referido
C00084,Cliente 00084,Quito ,Minorista,2024-08-23,Visita comercial
C00085,Cliente 00085,Guayaquil,Mayorista,2021-12-23,Referido
C00086,Cliente 00086,Quito,Minorista,2024-11-07,Visita comercial
C00087,Cliente 00087,Loja,Minorista,,Referido
C00088,Cliente 00088,Quito,Minorista,2025-08-21,Punto de venta
C00089,Cliente 00089,Quito,Minorista,2022-06-18,Visita comercial
C00090,Cliente 00090,Guayaquil,Minorista,2025-07-05,Visita comercial
C00091,Cliente 00091,Loja,Mayorista,2023-07-01,Visita comercial
C00092,Cliente 00092,Manta,Minorista,2024-01-18,Visita comercial
C00093,Cliente 00093,Cuenca,Minorista,2024-06-05,Punto de venta
C00094,Cliente 00094,Manta,Mayorista,2024-01-27,Punto de venta
C00095,Cliente 00095,Manta,Minorista,2025-06-30,Visita comercial
C00096,Cliente 00096,Guayaquil,Mayorista,2022-04-08,Punto de venta
C00097,Cliente 00097,Quito,Minorista,2024-09-24,Punto de venta
C00098,Cliente 00098,Cuenca,Minorista,2025-10-21,Punto de venta
C00099,Cliente 00099,Cuenca,Mayorista,2022-07-02,Referido
C00100,Cliente 00100,Quito,Minorista,2022-08-27,Referido
C00101,Cliente 00101,Quito,Minorista,2023-08-14,Referido
C00102,Cliente 00102,cuenca,Mayorista,2024-09-16,Punto de venta
C00103,Cliente 00103,quito,Minorista,2025-09-26,Punto de venta
C00104,Cliente 00104,Loja,Minorista,2025-01-08,Redes sociales
C00105,Cliente 00105,Quito,Minorista,2025-01-05,Referido
C00106,Cliente 00106, Quito,Minorista,2023-06-20,Punto de venta
C00107,Cliente 00107,Manta ,Minorista,2024-05-12,Punto de venta
C00108,Cliente 00108,Quito,Minorista,2022-06-17,Referido
C00109,Cliente 00109,Quito,Minorista,2023-07-26,Punto de venta
C00110,Cliente 00110,Guayaquil,Minorista,2022-05-13,Referido
C00111,Cliente 00111,Manta ,Minorista,,Redes sociales
C00112,Cliente 00112,Quito,Mayorista,2025-04-15,Redes sociales
C00113,Cliente 00113,Quito,Minorista,2025-01-22,Punto de venta
C00114,Cliente 00114,Cuenca,Mayorista,2023-10-10,Punto de venta
C00115,Cliente 00115,Loja,Minorista,2021-08-07,Referido
C00116,Cliente 00116,Guayaquil,Mayorista,2021-12-06,Referido
C00117,Cliente 00117,Quito,Minorista,2022-01-09,Referido
C00118,Cliente 00118,Quito,Minorista,2024-09-04,Visita comercial
C00119,Cliente 00119,Quito,Mayorista,2022-06-05,Referido
C00120,Cliente 00120,Quito ,Minorista,2022-08-19,Visita comercial
C00121,Cliente 00121,Cuenca,Minorista,2025-04-22,Referido
C00122,Cliente 00122,Quito,Minorista,2025-05-17,Visita comercial
C00123,Cliente 00123,Guayaquil,Minorista,2024-11-16,Referido
C00124,Cliente 00124,Cuenca,Minorista,2022-11-22,Punto de venta
C00125,Cliente 00125,Guayaquil,Minorista,2024-01-28,Referido
C00126,Cliente 00126,Quito,Minorista,2022-05-31,Redes sociales
C00127,Cliente 00127,Manta,Minorista,2025-04-17,Punto de venta
C00128,Cliente 00128,Cuenca,Minorista,2021-11-27,Redes sociales
C00129,Cliente 00129,Cuenca,Minorista,2024-10-18,Visita comercial
C00130,Cliente 00130,Quito,Minorista,2023-10-11,Referido
C00131,Cliente 00131,Quito,Minorista,2024-11-07,Redes sociales
C00132,Cliente 00132, Loja,Minorista,2023-07-06,Redes sociales
C00133,Cliente 00133,GUAYAQUIL,Minorista,2022-03-24,Visita comercial
C00134,Cliente 00134,Quito,Minorista,2024-10-29,Referido
C00135,Cliente 00135,Guayaquil,Minorista,2024-04-19,Redes sociales
C00136,Cliente 00136,Cuenca,Minorista,2023-07-28,Referido
C00137,Cliente 00137,Loja,Minorista,2023-03-03,Redes sociales
C00138,Cliente 00138,Quito,Minorista,2023-01-16,Visita comercial
C00139,Cliente 00139,Loja,Minorista,2023-08-23,Referido
C00140,Cliente 00140,Quito,Mayorista,2022-09-06,Punto de venta
C00141,Cliente 00141,Guayaquil,Minorista,2022-10-09,Referido
C00142,Cliente 00142,Guayaquil,Minorista,,Redes sociales
C00143,Cliente 00143,QUITO,Minorista,2021-08-04,Referido
C00144,Cliente 00144, Quito,Minorista,2025-08-07,Referido
C00145,Cliente 00145,Guayaquil,Minorista,2022-07-28,Punto de venta
C00146,Cliente 00146,Loja,Minorista,2022-04-05,Referido
C00147,Cliente 00147,Guayaquil,Minorista,2022-03-13,Referido
C00148,Cliente 00148,LOJA,Minorista,2025-11-12,Punto de venta
C00149,Cliente 00149, Manta,Mayorista,2023-08-16,Punto de venta
C00150,Cliente 00150,Guayaquil,Mayorista,2022-12-20,Punto de venta
C00151,Cliente 00151,Cuenca,Minorista,2023-04-22,Visita comercial
C00152,Cliente 00152,Quito,Minorista,2021-12-03,Visita comercial
C00153,Cliente 00153,Quito,Minorista,2022-11-28,Redes sociales
C00154,Cliente 00154,Manta,Minorista,2022-08-16,Visita comercial
C00155,Cliente 00155,Cuenca,Mayorista,2025-01-20,Referido
C00156,Cliente 00156,Quito,Minorista,2021-10-16,Punto de venta
C00157,Cliente 00157,Guayaquil,Mayorista,2023-05-26,Referido
C00158,Cliente 00158,Guayaquil,Mayorista,2024-12-30,Visita comercial
C00159,Cliente 00159,manta,Minorista,2025-03-09,Visita comercial
C00160,Cliente 00160,Guayaquil,Minorista,2023-10-13,Referido
C00161,Cliente 00161,Guayaquil,Minorista,2022-07-06,Redes sociales
C00162,Cliente 00162,Quito,Minorista,2023-01-05,Punto de venta
C00163,Cliente 00163,Guayaquil,Minorista,2022-07-05,Visita comercial
C00164,Cliente 00164,Cuenca,Mayorista,2024-06-08,Visita comercial
C00165,Cliente 00165,Manta,Minorista,2022-10-26,Redes sociales
C00166,Cliente 00166,Guayaquil,Minorista,2024-04-19,Referido
C00167,Cliente 00167,Quito,Mayorista,2024-05-29,Redes sociales
C00168,Cliente 00168,Quito,Minorista,2025-08-26,Punto de venta
C00169,Cliente 00169,Cuenca,Minorista,2023-02-27,Redes sociales
C00170,Cliente 00170,Manta,Mayorista,2025-09-30,Referido
C00171,Cliente 00171,Quito,Minorista,2023-04-17,Punto de venta
C00172,Cliente 00172,Quito,Minorista,2024-07-08,Visita comercial
C00173,Cliente 00173,GUAYAQUIL,Minorista,2024-06-07,Punto de venta
C00174,Cliente 00174,Quito,Mayorista,2025-02-12,Redes sociales
C00175,Cliente 00175,Manta,Minorista,2023-08-04,Redes sociales
C00176,Cliente 00176,Quito,Minorista,2025-01-02,Punto de venta
C00177,Cliente 00177,Quito,Minorista,2023-02-03,Redes sociales
C00178,Cliente 00178,Loja,Minorista,2023-09-09,Referido
C00179,Cliente 00179,Quito,Mayorista,2023-09-22,Referido
C00180,Cliente 00180,Quito,Minorista,2024-08-15,Punto de venta
C00181,Cliente 00181,Quito,Mayorista,2024-03-30,Redes sociales
C00182,Cliente 00182,Quito,Minorista,2021-11-17,Visita comercial
C00183,Cliente 00183,Quito,Minorista,2025-01-29,Punto de venta
C00184,Cliente 00184,Quito,Mayorista,2024-11-08,Redes sociales
C00185,Cliente 00185,Quito,Minorista,2021-12-29,Referido
C00186,Cliente 00186,Quito,Minorista,2025-09-30,Visita comercial
C00187,Cliente 00187,Guayaquil,Mayorista,2024-06-06,Referido
C00188,Cliente 00188,Cuenca,Minorista,2021-11-27,Visita comercial
C00189,Cliente 00189,Guayaquil,Minorista,2023-09-09,Visita comercial
C00190,Cliente 00190,Quito,Mayorista,2025-03-13,Referido
C00191,Cliente 00191,Guayaquil,Minorista,2022-10-05,Visita comercial
C00192,Cliente 00192,Manta,Minorista,2025-08-15,Referido
C00193,Cliente 00193,Manta,Minorista,2023-05-15,Punto de venta
C00194,Cliente 00194,Quito,Minorista,2022-07-11,Referido
C00195,Cliente 00195,Quito,Minorista,2023-02-05,Punto de venta
C00196,Cliente 00196,Quito,Minorista,2023-11-01,Punto de venta
C00197,Cliente 00197,Quito,Minorista,2024-07-20,Redes sociales
C00198,Cliente 00198,Guayaquil,Minorista,2025-08-07,Punto de venta
C00199,Cliente 00199,Guayaquil,Minorista,2022-05-22,Punto de venta
C00200,Cliente 00200,quito,Minorista,2025-09-28,Referido
C00201,Cliente 00201,Quito,Minorista,2023-11-06,Punto de venta
C00202,Cliente 00202,Guayaquil,Minorista,2022-02-04,Visita comercial
C00203,Cliente 00203,Quito,Minorista,2025-08-05,Punto de venta
C00204,Cliente 00204,Manta,Minorista,2023-01-24,Redes sociales
C00205,Cliente 00205,Quito,Mayorista,2024-04-02,Visita comercial
C00206,Cliente 00206,Loja,Minorista,2024-08-05,Referido
C00207,Cliente 00207,Quito,Minorista,2021-08-05,Punto de venta
C00208,Cliente 00208, Manta,Mayorista,2022-07-04,Referido
C00209,Cliente 00209,Manta,Minorista,2024-07-17,Visita comercial
C00210,Cliente 00210,Loja,Minorista,2022-12-16,Visita comercial
C00211,Cliente 00211,MANTA,Minorista,2021-07-29,Redes sociales
C00212,Cliente 00212,Cuenca,Minorista,2021-08-21,Punto de venta
C00213,Cliente 00213,Guayaquil,Minorista,2025-02-26,Punto de venta
C00214,Cliente 00214,Cuenca,Minorista,2022-03-17,Referido
C00215,Cliente 00215,Quito,Minorista,2021-12-22,Visita comercial
C00216,Cliente 00216,Guayaquil,Mayorista,2023-12-31,Visita comercial
C00217,Cliente 00217,Guayaquil,Mayorista,2022-01-21,Redes sociales
C00218,Cliente 00218,Manta,Minorista,2024-05-24,Punto de venta
C00219,Cliente 00219,Guayaquil,Minorista,2023-12-02,Punto de venta
C00220,Cliente 00220,Guayaquil,Minorista,2024-05-18,Referido
C00221,Cliente 00221,GUAYAQUIL,Mayorista,2023-09-09,Redes sociales
C00222,Cliente 00222,Quito,Minorista,2024-12-11,Referido
C00223,Cliente 00223,Quito,Minorista,2024-05-11,Redes sociales
C00224,Cliente 00224,Guayaquil,Minorista,2023-05-10,Redes sociales
C00225,Cliente 00225,Guayaquil,Minorista,2021-08-08,Punto de venta
C00226,Cliente 00226,Quito,Minorista,2022-09-25,Redes sociales
C00227,Cliente 00227,Quito,Minorista,2022-02-10,Punto de venta
C00228,Cliente 00228,Quito,Minorista,2021-08-08,Referido
C00229,Cliente 00229,Quito,Mayorista,2022-09-25,Visita comercial
C00230,Cliente 00230,Quito,Minorista,2022-06-10,Referido
C00231,Cliente 00231,Cuenca,Minorista,2021-11-14,Redes sociales
C00232,Cliente 00232,Quito,Minorista,2022-11-26,Redes sociales
C00233,Cliente 00233,Loja,Minorista,2023-10-03,Redes sociales
C00234,Cliente 00234,Manta,Minorista,2022-04-26,Punto de venta
C00235,Cliente 00235,Guayaquil,Minorista,,Referido
C00236,Cliente 00236,Quito,Minorista,2021-08-16,Punto de venta
C00237,Cliente 00237,Guayaquil,Minorista,2021-10-03,Punto de venta
C00238,Cliente 00238,Manta,Minorista,2022-03-23,Referido
C00239,Cliente 00239,Cuenca,Minorista,2023-07-09,Referido
C00240,Cliente 00240,Manta,Minorista,2024-06-14,Visita comercial
C00241,Cliente 00241,Guayaquil,Minorista,2024-12-27,Referido
C00242,Cliente 00242,Guayaquil,Minorista,2024-04-17,Punto de venta
C00243,Cliente 00243,Quito,Minorista,2024-03-27,Punto de venta
C00244,Cliente 00244,Cuenca,Minorista,2025-08-20,Redes sociales
C00245,Cliente 00245,Quito,Minorista,2022-08-28,Referido
C00246,Cliente 00246,Cuenca,Mayorista,2025-01-12,Punto de venta
C00247,Cliente 00247,Manta,Mayorista,2025-08-21,Punto de venta
C00248,Cliente 00248,Quito,Minorista,2024-01-09,Referido
C00249,Cliente 00249,Guayaquil,Minorista,2025-03-20,Punto de venta
C00250,Cliente 00250,Quito,Minorista,2022-02-20,Visita comercial
C00251,Cliente 00251,Cuenca,Minorista,2025-05-21,Visita comercial
C00252,Cliente 00252,Quito,Minorista,2024-01-03,Visita comercial
C00253,Cliente 00253,Loja,Mayorista,2022-07-04,Visita comercial
C00254,Cliente 00254,Quito,Mayorista,2021-10-21,Punto de venta
C00255,Cliente 00255,Loja,Minorista,2024-09-08,Referido
C00256,Cliente 00256,Manta,Minorista,2023-06-04,Referido
C00257,Cliente 00257,GUAYAQUIL,Mayorista,2022-11-23,Referido
C00258,Cliente 00258,Cuenca,Minorista,2023-03-31,Referido
C00259,Cliente 00259,Cuenca,Mayorista,2025-11-16,Referido
C00260,Cliente 00260,Loja,Minorista,2023-05-30,Visita comercial
C00261,Cliente 00261,Quito,Mayorista,2021-11-18,Punto de venta
C00262,Cliente 00262,Guayaquil,Minorista,2022-10-05,Visita comercial
C00263,Cliente 00263,Quito,Minorista,2022-03-04,Punto de venta
C00264,Cliente 00264,Guayaquil,Minorista,2024-07-16,Visita comercial
C00265,Cliente 00265,Quito,Minorista,2025-01-15,Punto de venta
C00266,Cliente 00266,Guayaquil,Minorista,2025-03-21,Punto de venta
C00267,Cliente 00267,Guayaquil,Mayorista,2024-04-22,Visita comercial
C00268,Cliente 00268,Guayaquil,Minorista,2024-11-25,Visita comercial
C00269,Cliente 00269,Guayaquil,Mayorista,2023-05-13,Punto de venta
C00270,Cliente 00270,Cuenca,Minorista,2024-04-14,Redes sociales
C00271,Cliente 00271,Cuenca,Minorista,2022-01-02,Redes sociales
C00272,Cliente 00272,Guayaquíl,Minorista,2023-11-23,Visita comercial
C00273,Cliente 00273,Guayaquil,Minorista,2023-12-23,Referido
C00274,Cliente 00274,Loja,Minorista,2021-09-02,Redes sociales
C00275,Cliente 00275,Quito,Minorista,2023-12-09,Punto de venta
C00276,Cliente 00276,Quito,Minorista,2024-09-13,Referido
C00277,Cliente 00277,Quito,Minorista,2023-02-23,Punto de venta
C00278,Cliente 00278,Cuenca,Mayorista,2023-12-03,Punto de venta
C00279,Cliente 00279,Guayaquil,Minorista,2022-10-15,Visita comercial
C00280,Cliente 00280,Cuenca,Mayorista,2022-09-21,Referido
C00281,Cliente 00281,Cuenca,Minorista,2022-02-07,Referido
C00282,Cliente 00282,Quito,Minorista,2022-12-21,Referido
C00283,Cliente 00283,Manta,Minorista,2025-01-20,Redes sociales
C00284,Cliente 00284,Cuenca,Minorista,2025-08-19,Referido
C00285,Cliente 00285,Quito,Minorista,2024-04-27,Referido
C00286,Cliente 00286,Quito,Minorista,2024-04-08,Punto de venta
C00287,Cliente 00287,Quito,Minorista,2024-03-23,Redes sociales
C00288,Cliente 00288,Quito,Minorista,2023-08-15,Redes sociales
C00289,Cliente 00289,Quito,Minorista,2023-05-22,Redes sociales
C00290,Cliente 00290,Loja,Minorista,2024-04-03,Referido
C00291,Cliente 00291,Guayaquil,Mayorista,2024-12-21,Punto de venta
C00292,Cliente 00292,Guayaquil,Minorista,2023-05-07,Referido
C00293,Cliente 00293,Cuenca,Mayorista,2024-01-06,Referido
C00294,Cliente 00294,Guayaquil,Mayorista,2023-08-06,Visita comercial
C00295,Cliente 00295,Loja,Mayorista,2022-10-14,Redes sociales
C00296,Cliente 00296,Cuenca,Mayorista,2022-10-22,Redes sociales
C00297,Cliente 00297,Guayaquil,Minorista,2021-11-18,Referido
C00298,Cliente 00298,Quito,Minorista,2023-06-18,Punto de venta
C00299,Cliente 00299,Loja,Minorista,2024-08-27,Punto de venta
C00300,Cliente 00300,Cuenca,Mayorista,2024-07-15,Visita comercial
C00301,Cliente 00301,Loja,Minorista,,Punto de venta
C00302,Cliente 00302,Quito,Minorista,2021-09-16,Referido
C00303,Cliente 00303,Manta,Mayorista,2024-11-13,Punto de venta
C00304,Cliente 00304,Guayaquil,Minorista,2025-01-07,Referido
C00305,Cliente 00305,Quito,Minorista,2023-06-13,Referido
C00306,Cliente 00306,Guayaquil,Minorista,2022-10-10,Referido
C00307,Cliente 00307,Cuenca,Minorista,2023-02-06,Referido
C00308,Cliente 00308,Quito,Minorista,2024-07-11,Punto de venta
C00309,Cliente 00309,Guayaquil,Mayorista,2025-04-24,Redes sociales
C00310,Cliente 00310,Manta,Minorista,2024-05-08,Referido
C00311,Cliente 00311,Quito,Minorista,2023-10-15,Redes sociales
C00312,Cliente 00312,Guayaquil,Minorista,2024-05-24,Punto de venta
C00313,Cliente 00313,Guayaquil,Minorista,2021-11-04,Punto de venta
C00314,Cliente 00314,Quito,Minorista,2024-03-14,Redes sociales
C00315,Cliente 00315,MANTA,Mayorista,2021-09-20,Referido
C00316,Cliente 00316,Cuenca ,Mayorista,2025-09-26,Visita comercial
C00317,Cliente 00317,Quito,Minorista,2025-06-06,Punto de venta
C00318,Cliente 00318,Loja,Minorista,2023-10-06,Punto de venta
C00319,Cliente 00319,Manta,Minorista,2023-03-05,Redes sociales
C00320,Cliente 00320,Quito,Minorista,2024-09-28,Punto de venta
C00321,Cliente 00321,Manta,Minorista,2024-04-30,Visita comercial
C00322,Cliente 00322,Quito,Minorista,2024-08-16,Punto de venta
C00323,Cliente 00323, Loja,Minorista,2023-10-17,Visita comercial
C00324,Cliente 00324,Cuenca,Mayorista,2022-07-28,Visita comercial
C00325,Cliente 00325,Cuenca,Minorista,2021-11-09,Redes sociales
C00326,Cliente 00326,Quito,Mayorista,2022-10-11,Referido
C00327,Cliente 00327,Manta,Minorista,2023-11-08,Punto de venta
C00328,Cliente 00328,Quito,Mayorista,2023-05-24,Referido
C00329,Cliente 00329,Quito,Minorista,2023-10-03,Punto de venta
C00330,Cliente 00330,Quito,Minorista,2022-10-02,Punto de venta
C00331,Cliente 00331,Cuenca,Mayorista,2025-08-23,Punto de venta
C00332,Cliente 00332,Quito,Mayorista,2023-02-21,Punto de venta
C00333,Cliente 00333,Manta,Minorista,2025-03-29,Referido
C00334,Cliente 00334,Cuenca,Minorista,2023-04-01,Referido
C00335,Cliente 00335, Quito,Minorista,2023-06-24,Visita comercial
C00336,Cliente 00336,QUITO,Minorista,2024-03-07,Referido
C00337,Cliente 00337,Quito,Minorista,2022-09-09,Punto de venta
C00338,Cliente 00338,guayaquil,Mayorista,2022-07-01,Redes sociales
C00339,Cliente 00339,Manta,Minorista,2023-03-13,Referido
C00340,Cliente 00340,Quito,Minorista,2025-01-21,Visita comercial
C00341,Cliente 00341,MANTA,Minorista,2022-03-03,Redes sociales
C00342,Cliente 00342,Quito,Minorista,2023-06-15,Punto de venta
C00343,Cliente 00343,Manta,Minorista,2024-06-24,Referido
C00344,Cliente 00344,Loja,Minorista,2024-08-17,Punto de venta
C00345,Cliente 00345,Cuenca,Minorista,2023-06-10,Redes sociales
C00346,Cliente 00346,Cuenca,Minorista,2021-11-22,Punto de venta
C00347,Cliente 00347,Manta,Mayorista,2021-08-09,Referido
C00348,Cliente 00348,Quito,Minorista,2023-08-05,Redes sociales
C00349,Cliente 00349,Quito,Mayorista,,Visita comercial
C00350,Cliente 00350,Quito,Minorista,2021-08-29,Referido
C00351,Cliente 00351,Guayaquil,Minorista,2025-06-03,Punto de venta
C00352,Cliente 00352,Cuenca,Minorista,2024-06-30,Redes sociales
C00353,Cliente 00353,Guayaquil,Minorista,2021-07-27,Visita comercial
C00354,Cliente 00354,Manta,Minorista,2023-01-15,Punto de venta
C00355,Cliente 00355,Quito,Minorista,2022-07-02,Visita comercial
C00356,Cliente 00356,Cuenca,Minorista,,Redes sociales
C00357,Cliente 00357,Quito,Minorista,2023-12-19,Punto de venta
C00358,Cliente 00358,Quito,Minorista,2022-12-15,Redes sociales
C00359,Cliente 00359,Cuenca,Minorista,2022-10-02,Punto de venta
C00360,Cliente 00360,Loja,Minorista,2024-01-03,Redes sociales
C00361,Cliente 00361,Guayaquil,Minorista,2021-07-23,Punto de venta
C00362,Cliente 00362,Quito,Minorista,2022-08-30,Punto de venta
C00363,Cliente 00363,Guayaquil,Minorista,2022-04-05,Punto de venta
C00364,Cliente 00364,Quito,Minorista,2024-04-02,Referido
C00365,Cliente 00365,Manta,Minorista,2024-06-19,Punto de venta
C00366,Cliente 00366,Cuenca,Minorista,2023-08-01,Referido
C00367,Cliente 00367,Quito,Minorista,2022-02-24,Punto de venta
C00368,Cliente 00368,Quito,Mayorista,2023-02-28,Referido
C00369,Cliente 00369,Quito,Minorista,2025-03-24,Referido
C00370,Cliente 00370,Loja,Mayorista,2022-06-05,Punto de venta
C00371,Cliente 00371,Guayaquil,Mayorista,2022-04-02,Referido
C00372,Cliente 00372,Cuenca,Minorista,2022-01-09,Referido
C00373,Cliente 00373,Guayaquil,Minorista,2025-02-10,Punto de venta
C00374,Cliente 00374,Guayaquil,Minorista,2022-01-22,Visita comercial
C00375,Cliente 00375,Quito,Mayorista,2024-01-31,Visita comercial
C00376,Cliente 00376,Loja,Minorista,2025-11-29,Redes sociales
C00377,Cliente 00377,Quito,Minorista,2024-05-06,Referido
C00378,Cliente 00378,Guayaquil,Minorista,2023-05-05,Referido
C00379,Cliente 00379,Cuenca,Minorista,2022-06-10,Visita comercial
C00380,Cliente 00380,Guayaquil,Minorista,2021-07-18,Referido
C00381,Cliente 00381,Loja,Minorista,2022-03-20,Referido
C00382,Cliente 00382,Quito,Minorista,2025-09-16,Visita comercial
C00383,Cliente 00383,Guayaquil,Mayorista,2022-03-01,Redes sociales
C00384,Cliente 00384,Guayaquil,Minorista,2021-08-15,Redes sociales
C00385,Cliente 00385,Guayaquil,Minorista,2025-02-09,Visita comercial
C00386,Cliente 00386,Quito,Minorista,2023-05-15,Referido
C00387,Cliente 00387,Quito,Mayorista,2023-02-06,Punto de venta
C00388,Cliente 00388,Quito ,Mayorista,2024-09-04,Redes sociales
C00389,Cliente 00389,Quito,Minorista,2023-10-29,Referido
C00390,Cliente 00390,Guayaquil,Minorista,2025-07-17,Redes sociales
C00391,Cliente 00391,Guayaquil,Minorista,2023-08-02,Visita comercial
C00392,Cliente 00392,Guayaquil,Mayorista,2024-08-28,Punto de venta
C00393,Cliente 00393,Guayaquil,Minorista,2025-05-21,Punto de venta
C00394,Cliente 00394,Guayaquil,Minorista,2023-07-26,Punto de venta
